file,folder,label,mi,cc_avg,cc_max,halstead_volume,halstead_difficulty,halstead_effort,loc,sloc,lloc,lz_nloc,lz_cc_avg,lz_cc_max,lz_functions,,,
human_81.py,human,Human,100,4,4,0,0,0,5,5,5,5,4,4,1,,,
human_82.py,human,Human,77.14,2,2,22.46,1.88,42.11,6,6,4,6,2,2,1,,,
human_83.py,human,Human,100,1,1,0,0,0,12,11,11,11,1.25,2,4,,,
human_84.py,human,Human,88.94,4,4,15.51,1,15.51,10,9,9,9,4,4,1,,,
human_85.py,human,Human,76.47,2,2,13.93,1.33,18.58,6,6,5,6,2,2,1,,,
human_86.py,human,Human,100,2,2,0,0,0,4,4,4,4,2,2,1,,,
human_87.py,human,Human,75.29,2,2,4.75,0.5,2.38,8,8,8,8,2,2,1,,,
human_88.py,human,Human,100,1,1,0,0,0,2,2,2,2,1,1,1,,,
human_89.py,human,Human,73.31,1,1,4.75,0.5,2.38,11,10,10,10,1.5,2,2,,,
human_9.py,human,Human,100,1,1,0,0,0,5,5,6,5,1,1,1,,,
human_90.py,human,Human,100,2,2,0,0,0,5,5,5,5,2,2,1,,,
human_91.py,human,Human,100,1,1,0,0,0,4,4,4,4,1,1,1,,,
human_92.py,human,Human,69.07,4,4,4.75,0.5,2.38,17,17,15,17,4,4,1,,,
human_93.py,human,Human,99.77,3,3,2,0.5,1,20,9,8,9,3,3,1,,,
human_94.py,human,Human,90.53,5,5,55.51,2,111.01,10,9,9,9,5,5,1,,,
human_95.py,human,Human,84.72,1,1,4.75,0.5,2.38,7,7,3,7,1,1,1,,,
human_96.py,human,Human,100,1,1,0,0,0,2,2,3,2,1,1,1,,,
human_97.py,human,Human,100,2,2,0,0,0,10,10,10,10,2,2,1,,,
human_98.py,human,Human,53.16,28,28,452.95,9.76,4419.96,81,69,58,69,28,28,1,,,
human_99.py,human,Human,100,1,1,0,0,0,6,6,4,6,1,1,1,,,
